Occupation Title,Typical Entry-Level Education,Occupation Code,Employment 2020,Employment 2030,"Employment Change, 2020-2030","Employment Percent Change, 2020-2030","Occupational Openings, 2020-2030 Annual Average",Median Annual Wage 2020,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
Pest control workers    * Exterminator* Fumigator* Insecticide Expert* Mosquito Sprayer* Pest Controller* Rat Exterminator* Rodent Exterminator* Termite Technician* Termite Treater,High school diploma or equivalent,37-2021,86.8,95,8.2,9.5,12.8,"37,820",7,None,4,Moderate-term on-the-job training,4
Landscaping and groundskeeping workers    * Golf Course Laborer* Greenskeeper* Greenskeeper Laborer* Grounds Caretaker* Grounds Maintenance Worker* Hedge Trimmer* Lawn Care Worker* Lawn Caretaker* Lawn Maintenance Worker* Lawn Mower* Lawn Service Worker* Shrub Planter* Sod Layer,No formal educational credential,37-3011,"1,117.80","1,202.80",85,7.6,157.9,"31,730",8,None,4,Short-term on-the-job training,5
"Pesticide handlers, sprayers, and applicators, vegetation    * Certified Pesticide Applicator* Fruit Sprayer* Herbicide Sprayer* Orchard Sprayer* Plant Sprayer* Weed Sprayer",High school diploma or equivalent,37-3012,27.3,29.6,2.3,8.3,3.9,"36,630",7,None,4,Moderate-term on-the-job training,4
Tree trimmers and pruners    * Pruner* Tree Pruner* Tree Specialist* Tree Surgeon* Tree Trimmer,High school diploma or equivalent,37-3013,66.4,70.5,4.1,6.1,9.2,"41,340",7,None,4,Short-term on-the-job training,5
"Grounds maintenance workers, all other    * Trail Construction Worker* Trail Maintenance Worker* Trailhead Construction Worker* Trailhead Maintenance Worker* Tree Trimmer Helper",No formal educational credential,37-3019,15.3,16.6,1.3,8.6,2.2,"34,210",8,None,4,Short-term on-the-job training,5
First-line supervisors of gambling services workers,High school diploma or equivalent,39-1013,22,26.7,4.7,21.4,3,"50,440",7,Less than 5 years,2,None,6
"First-line supervisors of personal service and entertainment and recreation workers, except gambling services",High school diploma or equivalent,39-1098,200.4,248.8,48.4,24.2,28.6,"42,000",7,Less than 5 years,2,None,6
Animal trainers    * Animal Trainer* Dog Handler* Dog Trainer* Dolphin Trainer* Guide Dog Instructor* Guide Dog Mobility Instructor* Guide Dog Trainer* Horse Breaker* Licensed Guide Dog Instructor* Lion Trainer* Marine Mammal Trainer* Seeing Eye Dog Trainer,High school diploma or equivalent,39-2011,60.2,77.4,17.2,28.5,9.9,"31,520",7,None,4,Moderate-term on-the-job training,4
Animal caretakers    * Animal Care Giver* Animal Care Technician* Animal Caregiver* Animal Daycare Provider* Animal Groomer* Animal Shelter Worker* Animal Sitter* Aquarist* Aquarium Tank Attendant* Cat and Dog Bather* Dog Bather* Dog Beautician* Dog Groomer* Dog Sitter* Horse Exerciser* Kennel Aide* Kennel Attendant* Kennel Helper* Kennel Worker* Pet Feeder* Pet Groomer* Pet Sitter* Pet Stylist* Zookeeper,High school diploma or equivalent,39-2021,272.4,366.1,93.6,34.4,56.4,"26,080",7,None,4,Short-term on-the-job training,5
Gambling dealers    * 21 Dealer* Blackjack Dealer* Casino Dealer* Casino Games Dealer* Craps Dealer* Keno Dealer* Poker Dealer* Roulette Dealer* Table Games Dealer,High school diploma or equivalent,39-3011,74.1,91.9,17.8,24,13.8,"23,740",7,None,4,Short-term on-the-job training,5
Gambling and sports book writers and runners    * Betting Clerk* Bookie* Casino Floor Runner* Keno Runner* Keno Writer* Race Book Writer* Race and Sports Book Writer* Sports Book Board Attendant* Sportsbook Ticket Writer,High school diploma or equivalent,39-3012,8,10.3,2.3,28.5,1.5,"25,220",7,None,4,Short-term on-the-job training,5
"Gambling service workers, all other    * Card Table Attendant* Pit Clerk* Poker Prop Player* Proposition Player* Shill",High school diploma or equivalent,39-3019,9.2,11.7,2.5,27.2,1.8,"29,360",7,None,4,Short-term on-the-job training,5
Motion picture projectionists    * Chief Projectionist* Film Projector Operator* Motion Picture Operator* Motion Picture Projectionist* Movie Projectionist* Projector Booth Operator* Stereoptician,No formal educational credential,39-3021,1.7,2.9,1.2,70.5,0.6,"27,490",8,None,4,Short-term on-the-job training,5
"Ushers, lobby attendants, and ticket takers    * Drive-In Theater Attendant* Lobby Attendant* Theater Usher* Ticket Attendant* Ticket Collector* Usher",No formal educational credential,39-3031,81.5,131.9,50.4,61.8,29.4,"25,110",8,None,4,Short-term on-the-job training,5
Amusement and recreation attendants    * Amusement Park Worker* Animal Ride Attendant* Arcade Attendant* Carnival Worker* Ferris Wheel Operator* Golf Caddy* Ice Rink Attendant* Ride Operator* Rides Attendant* Ski Lift Attendant* Ski Lift Operator* Sports Complex Attendant,No formal educational credential,39-3091,264.4,349.8,85.4,32.3,72.9,"24,760",8,None,4,Short-term on-the-job training,5
Costume attendants    * Costume Attendant* Theatrical Wardrobe Attendant* Theatrical Wardrobe Dresser* Wardrobe Assistant* Wardrobe Attendant* Wardrobe Custodian* Wardrobe Dresser* Wardrobe Supervisor,High school diploma or equivalent,39-3092,5.4,7.7,2.4,44.3,1.6,"42,910",7,None,4,Short-term on-the-job training,5
"Locker room, coatroom, and dressing room attendants    * Athletic Equipment Manager* Bathhouse Attendant* Checkroom Attendant* Cloak Room Attendant* Coat Checker* Ladies Locker Room Attendant* Locker Room Attendant* Locker Room Manager* Locker Room Supervisor* Washroom Attendant",High school diploma or equivalent,39-3093,12,15.2,3.2,26.3,3.2,"26,700",7,None,4,Short-term on-the-job training,5
"Entertainment attendants and related workers, all other    * Jockey Valet",High school diploma or equivalent,39-3099,3.9,5.3,1.4,35.4,1.1,"27,230",7,None,4,Short-term on-the-job training,5
Embalmers    * Anatomical Embalmer* Arterial Embalmer* Embalmer Apprentice* Licensed Embalmer* Restorative Art Embalmer,Associate's degree,39-4011,5,5,0,-0.6,0.7,"47,630",4,None,4,Long-term on-the-job training,3
Funeral attendants    * Funeral Assistant* Funeral Attendant* Funeral Greeter* Funeral Home Assistant* Funeral Home Associate* Mortician Helper* Pallbearer* Undertaker Helper,High school diploma or equivalent,39-4021,42.3,43.7,1.4,3.3,5.8,"29,150",7,None,4,Short-term on-the-job training,5
"Morticians, undertakers, and funeral arrangers    * Certified Mortician* Funeral Arrangement Director* Funeral Arranger* Funeral Director* Licensed Funeral Director",Associate's degree,39-4031,25,26.1,1,4.1,3.1,"54,100",4,None,4,Long-term on-the-job training,3
Barbers    * Barber* Barber Apprentice* Master Barber,Postsecondary nondegree award,39-5011,53,62.3,9.3,17.5,6.4,"32,470",5,None,4,None,6
"Hairdressers, hairstylists, and cosmetologists    * Beautician* Cosmetologist* Funeral Home Makeup Artist* Hair Colorist* Hair Stylist* Hair and Makeup Designer* Hairdresser* Hairpiece Stylist* Wedding Makeup Artist* Wig Stylist",Postsecondary nondegree award,39-5012,569.6,680.1,110.5,19.4,78.9,"27,380",5,None,4,None,6
"Makeup artists, theatrical and performance    * Special Effects Makeup Artist",Postsecondary nondegree award,39-5091,3.1,4.2,1.1,37,0.5,"106,920",5,None,4,None,6
Manicurists and pedicurists    * Fingernail Sculptor* Nail Technician* Pedicurist,Postsecondary nondegree award,39-5092,123,163.1,40.1,32.6,18.8,"27,870",5,None,4,None,6
Shampooers    * Scalp Treatment Specialist* Shampoo Assistant* Shampoo Technician* Shampooer,No formal educational credential,39-5093,10.8,14.1,3.2,29.8,1.6,"24,190",8,None,4,Short-term on-the-job training,5
Skincare specialists    * Electrolysis Needle Operator* Electrolysis Operator* Electrolysist* Esthetician* Facialist* Licensed Esthetician* Medical Esthetician* Skin Care Technician,Postsecondary nondegree award,39-5094,68.7,88.4,19.8,28.8,10.1,"36,510",5,None,4,None,6
Baggage porters and bellhops    * Baggage Porter* Bell Staff* Bellperson* Bellstaff* Hotel Baggage Handler* Luggage Attendant* Redcap* Skycap,High school diploma or equivalent,39-6011,28.6,35.6,7,24.5,4.8,"27,050",7,None,4,Short-term on-the-job training,5
Concierges    * Activities Concierge* Club Concierge* Concierge* Conference Concierge* Guest Service Supervisor* Hotel Concierge* Hotel Guest Service Agent,High school diploma or equivalent,39-6012,37.1,44.5,7.4,20,6,"32,380",7,None,4,Moderate-term on-the-job training,4
Tour and travel guides,High school diploma or equivalent,39-7010,44,56.8,12.8,29.1,9.2,"29,460",7,None,4,Moderate-term on-the-job training,4
Childcare workers    * Au Pair* Baby Sitter* Before and After School Daycare Worker* Childcare Aide* Childcare Attendant* Childcare Worker* Day Care Attendant* Day Care Worker* Daycare Aide* Daycare Provider* Governess* Nanny* Nursery Day Care Worker* Playground Aide,High school diploma or equivalent,39-9011,992.4,"1,076.60",84.2,8.5,150.3,"25,460",7,None,4,Short-term on-the-job training,5
Exercise trainers and group fitness instructors    * Aerobics Instructor* Certified Personal Trainer* Fitness Trainer* Group Exercise Instructor* Group Fitness Instructor* Personal Fitness Trainer* Personal Trainer* Weight Trainer* Weight Training Instructor* Yoga Instructor* Yoga Teacher,High school diploma or equivalent,39-9031,309.8,431.4,121.7,39.3,69.1,"40,510",7,None,4,Short-term on-the-job training,5
Recreation workers    * Activities Aide* Activities Assistant* Activities Coordinator* Activities Leader* Camp Counselor* Playground Worker* Recreation Activities Coordinator* Recreation Assistant* Recreational Aide,High school diploma or equivalent,39-9032,354.1,411.9,57.8,16.3,64.6,"28,440",7,None,4,Short-term on-the-job training,5
Residential advisors    * Dormitory Counselor* House Parent* Residence Director* Residence Life Coordinator* Residential Advisor* Residential Director* Residential Life Director* Sorority Mother,High school diploma or equivalent,39-9041,108.2,121.6,13.4,12.4,17.5,"31,190",7,None,4,Short-term on-the-job training,5
"Crematory operators and personal care and service workers, all other",High school diploma or equivalent,39-9098,80.5,100.5,19.9,24.8,13.9,"28,420",7,None,4,Short-term on-the-job training,5
First-line supervisors of retail sales workers    * Assistant Store Manager* Cashier Manager* Cashier Supervisor* Delicatessen Department Manager* Produce Department Supervisor* Sales Clerk Supervisor* Used Car Sales Supervisor,High school diploma or equivalent,41-1011,"1,390.60","1,300.40",-90.2,-6.5,131.8,"41,580",7,Less than 5 years,2,None,6
First-line supervisors of non-retail sales workers    * Blood Donor Recruiter Supervisor* Insurance Sales Supervisor* Radio Time Sales Supervisor* Real Estate Sales Supervisor* Stock Broker Supervisor* Telemarketer Supervisor* Telemarketing Manager* Telesales Supervisor,High school diploma or equivalent,41-1012,376.4,357.6,-18.8,-5,30.6,"78,560",7,Less than 5 years,2,None,6
Cashiers    * Cash Register Operator* Check Out Cashier* Fare Collector* Grocery Checker* Hotel  Dining Room Cashier* Snack Bar Cashier* Toll Booth Operator* Toll Collector,No formal educational credential,41-2011,"3,379.10","3,042.70",-336.4,-10,546.9,"25,020",8,None,4,Short-term on-the-job training,5
Gambling change persons and booth cashiers    * Mutuel Teller* Slot Attendant,No formal educational credential,41-2012,14.7,17.3,2.7,18.1,3.2,"27,080",8,None,4,Short-term on-the-job training,5
Counter and rental clerks    * Airplane Charter Clerk* Apartment Rental Clerk* Automobile Rental Clerk* Bicycle Rental Clerk* Boat Rental Clerk* Car Rental Agent* Dry Cleaning Counter Clerk* Layaway Clerk* Rental Clerk* Storage Facility Rental Clerk* Video Rental Clerk,No formal educational credential,41-2021,372.1,401.5,29.4,7.9,46.8,"30,870",8,None,4,Short-term on-the-job training,5
Parts salespersons    * Appliance Parts Counter Clerk* Auto Parts Salesperson* Electronic Parts Salesperson* Parts Clerk* Parts Counter Clerk,No formal educational credential,41-2022,257.8,270.4,12.6,4.9,32.6,"32,460",8,None,4,Moderate-term on-the-job training,4
Retail salespersons    * Automotive Salesperson* Department Store Salesperson* Menswear Salesperson* New Car Salesperson* Pet Supplies Salesperson* Pets Salesperson* Shoe Salesperson* Used Car Salesperson* Women's Apparel Salesperson,No formal educational credential,41-2031,"3,835.00","3,795.70",-39.3,-1,524.5,"27,080",8,None,4,Short-term on-the-job training,5
Advertising sales agents    * Advertising Account Executive* Advertising Agent* Advertising Solicitor* Display Advertising Sales Representative* Inside Sales Advertising Executive* Outside Sales Advertising Executive* Radio Time Salesperson* Signs and Displays Salesperson* Yellow Pages Space Salesperson,High school diploma or equivalent,41-3011,115.1,118.7,3.6,3.1,14.8,"54,940",7,None,4,Moderate-term on-the-job training,4
Insurance sales agents    * Health Insurance Sales Agent* Insurance Agent* Insurance Broker* Life Insurance Agent* Life Insurance Salesperson* Pension Agent,High school diploma or equivalent,41-3021,507.2,542.7,35.5,7,50.4,"52,180",7,None,4,Moderate-term on-the-job training,4
"Securities, commodities, and financial services sales agents    * Commodities Broker* Commodity Trader* Equity Trader* Investment Banker* Municipal Bond Trader* Mutual Fund Sales Agent* Securities Trader* Stock Broker* Stock Trader",Bachelor's degree,41-3031,466.3,485.8,19.5,4.2,42.5,"64,770",3,None,4,Moderate-term on-the-job training,4
Travel agents    * Auto Travel Counselor* Certified Corporate Travel Executive* Certified Travel Counselor* Corporate Travel Expert* Travel Agent* Travel Consultant* Travel Counselor* Travel Service Consultant,High school diploma or equivalent,41-3041,60.5,63.8,3.3,5.4,7.5,"42,350",7,None,4,Moderate-term on-the-job training,4
"Sales representatives of services, except advertising, insurance, financial services, and travel",High school diploma or equivalent,41-3091,985.2,"1,082.10",97,9.8,126.5,"58,770",7,None,4,Moderate-term on-the-job training,4
"Sales representatives, wholesale and manufacturing, technical and scientific products    * Chemical Sales Representative* Electroplating Sales Representative* Engineering Supplies Sales* Pharmaceutical Detailer* Pharmaceutical Sales Representative* Pharmaceutical Salesperson* Surgical Instruments Sales Representative* Wholesale Ultrasonic Equipment Salesperson",Bachelor's degree,41-4011,298.2,316.5,18.2,6.1,31.7,"86,650",3,None,4,Moderate-term on-the-job training,4
"Sales representatives, wholesale and manufacturing, except technical and scientific products    * Bottling Equipment Sales Representative* Freight Broker* Hotel Supplies Salesperson* Mortician Supplies Sales Representative* Pulpwood Dealer* Wholesale Diamond Broker",High school diploma or equivalent,41-4012,"1,327.50","1,386.80",59.4,4.5,137.8,"62,070",7,None,4,Moderate-term on-the-job training,4
Demonstrators and product promoters    * Home Demonstrator* Home Service Demonstrator* Hostess Party Sales Representative* In-Store Demonstrator,No formal educational credential,41-9011,76.3,81.9,5.6,7.3,14.6,"32,500",8,None,4,Short-term on-the-job training,5
Models    * Artist's Model* Clothes Model* Fashion Model* Figure Model* Hand Model* Hat Model* Model* Photographer's Model* Studio Model,No formal educational credential,41-9012,2.7,3,0.3,11.4,0.5,"31,910",8,None,4,None,6
Real estate brokers    * Licensed Real Estate Broker* Real Estate Broker,High school diploma or equivalent,41-9021,109.9,114.8,4.9,4.5,10.1,"60,370",7,Less than 5 years,2,None,6
Real estate sales agents    * Agricultural Real Estate Agent* Apartment Rental Agent* Industrial Real Estate Agent* Land Sales Agent* Right of Way Agent,High school diploma or equivalent,41-9022,408.9,425.8,16.9,4.1,37.4,"49,040",7,None,4,Moderate-term on-the-job training,4
Sales engineers    * Aerospace Products Sales Engineer* Missile Navigation Systems Sales Engineer* Nuclear Equipment Sales Engineer,Bachelor's degree,41-9031,63.8,68.8,5,7.9,7.3,"108,830",3,None,4,Moderate-term on-the-job training,4
Telemarketers    * Inbound Telemarketer* Outbound Telemarketer* Telemarketer* Telemarketing Sales Representative* Telephone Solicitor* Telesales Representative* Telesales Specialist,No formal educational credential,41-9041,119.7,97.8,-21.9,-18.3,13.9,"27,920",8,None,4,Short-term on-the-job training,5
"Door-to-door sales workers, news and street vendors, and related workers    * Newspaper Carrier* Newstand Vendor* Peddler* Souvenir Street Vendor",No formal educational credential,41-9091,54,41,-13,-24.1,4.7,"29,730",8,None,4,Short-term on-the-job training,5
"Sales and related workers, all other    * Auctioneer* Blood Donor Recruiter* Leaflet Distributor* Livestock Auctioneer* Personal Shopper* Store Gift Wrap Associate",High school diploma or equivalent,41-9099,172.6,175.5,2.9,1.7,22.5,"30,550",7,None,4,None,6
First-line supervisors of office and administrative support workers    * Accounts Payable Supervisor* Billing Department Supervisor* Billing Supervisor* Clerical Supervisor* Data Entry Supervisor* Medical Billing Supervisor* Office Services Supervisor* Payroll Supervisor* Records Supervisor* Teller Supervisor* Timekeeping Supervisor,High school diploma or equivalent,43-1011,"1,487.30","1,464.40",-22.9,-1.5,142.7,"58,450",7,Less than 5 years,2,None,6
"Switchboard operators, including answering service    * PBX Operator* Private Branch Exchange Operator* Telephone Answering Service Operator* Telephone Switchboard Operator",High school diploma or equivalent,43-2011,59.9,46.3,-13.6,-22.7,4.5,"31,430",7,None,4,Short-term on-the-job training,5
Telephone operators    * 411 Directory Assistance Operator* Directory Assistance Operator* Information Operator* Local Telephone Operator* Long Distance Operator* Telephone Exchange Operator,High school diploma or equivalent,43-2021,4.8,3.6,-1.2,-25.4,0.4,"37,710",7,None,4,Short-term on-the-job training,5
"Communications equipment operators, all other    * Communications Equipment Operator* Facsimile Machine Operator* Fax Machine Operator* Telegraph and Teletype Operator* Telex Operator",High school diploma or equivalent,43-2099,4.4,5,0.6,13.8,0.5,"46,680",7,None,4,Short-term on-the-job training,5
Bill and account collectors    * Accounts Collector* Bill Collector* Billing Representative* Collection Agent* Collections Clerk* Collections Representative* Debt Collector* Installment Agent* Installment Loan Collector* Insurance Collector* Payment Collector* Repossessor,High school diploma or equivalent,43-3011,223.1,202.6,-20.5,-9.2,20.8,"38,100",7,None,4,Moderate-term on-the-job training,4
Billing and posting clerks    * Billing Clerk* Invoice Clerk* Invoice Control Clerk* Patient Account Representative* Posting Clerk* Statement Clerk* Statement Distribution Clerk* Statement Processor,High school diploma or equivalent,43-3021,458.5,471.6,13.1,2.9,48.9,"39,590",7,None,4,Moderate-term on-the-job training,4
"Bookkeeping, accounting, and auditing clerks    * Accounts Receivable Assistant* Accounts Receivable Clerk* Auditing Clerk* Bookkeeper* Fixed Capital Clerk* Foreign Exchange Position Clerk* Mortgage Accounting Clerk","Some college, no degree",43-3031,"1,620.00","1,571.90",-48.1,-3,170.2,"42,410",6,None,4,Moderate-term on-the-job training,4
Gambling cage workers    * Cage Cashier* Casino Cage Cashier* Casino Cashier* Gaming Cage Cashier* Gaming Cashier,High school diploma or equivalent,43-3041,11.3,13.5,2.2,19.5,1.5,"28,650",7,None,4,Short-term on-the-job training,5
Payroll and timekeeping clerks    * Flight Crew Time Clerk* Payroll Bookkeeper* Personnel Scheduler* Time Clerk* Time and Attendance Clerk* Timekeeper,High school diploma or equivalent,43-3051,137.3,119.7,-17.7,-12.9,11.4,"47,020",7,None,4,Moderate-term on-the-job training,4
Procurement clerks    * Procurement Assistant* Procurement Clerk* Purchasing Assistant* Purchasing Clerk,High school diploma or equivalent,43-3061,63,59.8,-3.2,-5.1,5.2,"44,740",7,None,4,Moderate-term on-the-job training,4
Tellers    * Bank Teller* Commercial Teller* Exchange Teller* Foreign Banknote Teller* Foreign Exchange Clerk* Loan Teller* Money Order Clerk* Receiving Teller* Savings Teller* Securities Teller,High school diploma or equivalent,43-3071,432.5,359.4,-73.1,-16.9,33.7,"32,620",7,None,4,Short-term on-the-job training,5
"Financial clerks, all other    * Bank Vault Attendant* Bank Vault Clerk* Bank Vault Custodian* Financial Operations Clerk* Financial Reserve Clerk* Safe Deposit Clerk* Safety Deposit Clerk* Vault Teller",High school diploma or equivalent,43-3099,31.9,34.3,2.4,7.5,3.7,"44,160",7,None,4,Short-term on-the-job training,5
Brokerage clerks    * Brokerage Clerk* Brokerage Purchase-and-Sale Clerk* Commodities Clerk* Dividend Clerk* Securities Clerk,High school diploma or equivalent,43-4011,45.5,41.1,-4.4,-9.8,4.2,"55,270",7,None,4,Moderate-term on-the-job training,4
Correspondence clerks    * Claims Correspondence Clerk* Correspondence Clerk* Correspondence Representative* Correspondence Transcriber* Customer Service Correspondence Clerk* Fan Mail Editor* Medicare Correspondence Representative* Student Loan Correspondent,High school diploma or equivalent,43-4021,7,6.8,-0.2,-2.9,0.7,"38,400",7,None,4,Short-term on-the-job training,5
"Court, municipal, and license clerks    * Circuit Court Clerk* City Clerk* Court Clerk* Courtroom Clerk* Deputy Court Clerk* Docket Clerk* Dog Licenser* License Clerk* Motor Vehicle License Clerk* Motor Vehicle Representative* Municipal Clerk* Tax Clerk* Township Clerk* Warrant Clerk",High school diploma or equivalent,43-4031,162.1,171.6,9.5,5.8,17.5,"40,930",7,None,4,Long-term on-the-job training,3
"Credit authorizers, checkers, and clerks    * Charge Authorizer* Commercial Credit Reviewer* Credit Authorizer* Credit Charge Authorizer* Credit Checker* Credit Investigator* Credit Processor* Credit Rating Checker* Credit Reference Clerk* Credit Report Checker",High school diploma or equivalent,43-4041,25.3,24.1,-1.2,-4.8,2.3,"41,730",7,None,4,Moderate-term on-the-job training,4
Customer service representatives    * Complaint Clerk* Contact Center Specialist* Customer Complaint Clerk* Customer Contact Specialist* Customer Relations Representative* Customer Support Representative* Gas Distribution and Emergency Clerk* Passenger Relations Representative* Policyholder Information Clerk* Warranty Clerk,High school diploma or equivalent,43-4051,"2,923.40","2,888.80",-34.5,-1.2,361.7,"35,830",7,None,4,Short-term on-the-job training,5
"Eligibility interviewers, government programs    * Medicare Interviewer* Public Housing Interviewer* Social Security Benefits Interviewer* Unemployment Benefits Claims Taker* Welfare Interviewer",High school diploma or equivalent,43-4061,145.4,150.9,5.6,3.8,13.7,"47,110",7,None,4,Moderate-term on-the-job training,4
File clerks    * Cut File Clerk* Document Clerk* File Clerk* File Keeper* Index Clerk* Records Clerk,High school diploma or equivalent,43-4071,99.7,87.1,-12.6,-12.6,9.6,"34,090",7,None,4,Short-term on-the-job training,5
"Hotel, motel, and resort desk clerks    * Assistant Innkeeper* Hotel Desk Clerk* Hotel Front Desk Clerk* Hotel Registration Clerk* Motel Clerk* Motel Front Desk Attendant* Resort Desk Clerk",High school diploma or equivalent,43-4081,221,257.3,36.3,16.4,42.8,"25,490",7,None,4,Short-term on-the-job training,5
"Interviewers, except eligibility and loan    * Admitting Interviewer* Census Clerk* Census Taker* Field Enumerator* Market Research Interviewer* Outpatient Interviewing Clerk* Survey Interviewer* Telephone Interviewer",High school diploma or equivalent,43-4111,180.2,168.4,-11.8,-6.5,20.1,"36,170",7,None,4,Short-term on-the-job training,5
"Library assistants, clerical    * Book Sorter* Braille and Talking Books Clerk* Circulation Clerk* Film Library Clerk* Library Aide* Library Assistant* Library Circulation Clerk* Library Clerk* Medical Library Assistant* Microfilm Clerk",High school diploma or equivalent,43-4121,88,87.5,-0.5,-0.6,13.4,"28,730",7,None,4,Short-term on-the-job training,5
Loan interviewers and clerks    * Loan Interviewer* Loan Processor* Mortgage Closing Clerk* Mortgage Loan Closer* Mortgage Loan Processing Clerk* Mortgage Loan Processor* Mortgage Processor,High school diploma or equivalent,43-4131,208.8,203.8,-5,-2.4,17.6,"41,370",7,None,4,Short-term on-the-job training,5
New accounts clerks    * Banking Services Clerk* New Accounts Banking Representative* New Client Banking Services Clerk,High school diploma or equivalent,43-4141,46.1,38.4,-7.7,-16.7,3.2,"37,750",7,None,4,Moderate-term on-the-job training,4
Order clerks    * Catalogue Clerk* Classified Ad Clerk* Mail Order Clerk* Order Desk Clerk* Service Order Clerk* Subscription Clerk* Want Ad Clerk,"Some college, no degree",43-4151,133.9,109.5,-24.4,-18.2,10.4,"35,590",6,None,4,Short-term on-the-job training,5
"Human resources assistants, except payroll and timekeeping    * Employment Clerk* HR Clerk* Personnel Clerk",Associate's degree,43-4161,112,108.8,-3.2,-2.9,10.6,"43,250",4,None,4,None,6
Receptionists and information clerks    * Appointment Clerk* Dental Receptionist* Front Desk Receptionist* Land Leasing Information Clerk,High school diploma or equivalent,43-4171,"1,016.20","1,060.00",43.8,4.3,134,"31,110",7,None,4,Short-term on-the-job training,5
Reservation and transportation ticket agents and travel clerks    * Airline Reservation Agent* Airline Reservationist* Airline Ticket Agent* Gate Agent* Hotel Reservationist* Passenger Agent* Passenger Booking Clerk* Reservation Agent* Reservation Sales Agent* Train Clerk* Train Reservation Clerk* Transportation Clerk* Travel Clerk,High school diploma or equivalent,43-4181,101.6,114.7,13.1,12.9,13.1,"39,430",7,None,4,Short-term on-the-job training,5
"Information and record clerks, all other    * Election Clerk* Flight Crew Scheduler* Probate Clerk* Student Admissions Clerk",High school diploma or equivalent,43-4199,159.9,168.1,8.2,5.1,18.3,"42,820",7,None,4,Short-term on-the-job training,5
Cargo and freight agents    * Cargo Agent* Cargo Router* Freight Agent* Freight Shipping Agent* Ramp Service Agent,High school diploma or equivalent,43-5011,95.6,105.1,9.5,9.9,10.7,"43,770",7,None,4,Short-term on-the-job training,5
Couriers and messengers    * Bank Courier* Bicycle Messenger* Courier* Court Messenger* Laboratory Courier* Office Messenger* Office Runner,High school diploma or equivalent,43-5021,142.2,130.5,-11.7,-8.2,11.8,"30,980",7,None,4,Short-term on-the-job training,5
Public safety telecommunicators    * 911 Dispatcher* 911 Operator* Ambulance Dispatcher* Emergency Communications Dispatcher* Emergency Communications Operator* Emergency Operator* Emergency Telecommunications Dispatcher* Fire Dispatcher* Police Dispatcher* Police Radio Dispatcher,High school diploma or equivalent,43-5031,95.4,103.2,7.8,8.2,9.8,"43,290",7,None,4,Moderate-term on-the-job training,4
"Dispatchers, except police, fire, and ambulance    * Airplane Dispatch Clerk* Auto Service Dispatcher* Bus Dispatcher* Crew Dispatcher* Maintenance Dispatcher* School Bus Dispatcher* Taxicab Dispatcher* Tow Truck Dispatcher* Train Dispatcher* Truck Dispatcher",High school diploma or equivalent,43-5032,192.1,200.4,8.3,4.3,18.7,"40,980",7,None,4,Moderate-term on-the-job training,4
"Meter readers, utilities    * Electric Meter Reader* Gas Meter Reader* Water Meter Reader",High school diploma or equivalent,43-5041,27,24.7,-2.3,-8.6,1.7,"41,940",7,None,4,Short-term on-the-job training,5
Postal service clerks    * Bulk Mail Clerk* Bulk Mail Technician* Parcel Post Clerk* Postal Clerk* Postal Service Clerk* Postal Service Window Clerk,High school diploma or equivalent,43-5051,82.8,76.4,-6.4,-7.8,5.8,"50,150",7,None,4,Short-term on-the-job training,5
Postal service mail carriers    * City Letter Carrier* Letter Carrier* Mail Deliverer* Parcel Post Carrier* Postal Mail Carrier* Rural Mail Carrier* Rural Route Carrier* USPS Letter Carrier,High school diploma or equivalent,43-5052,317.7,293.1,-24.7,-7.8,19.1,"51,080",7,None,4,Short-term on-the-job training,5
"Postal service mail sorters, processors, and processing machine operators    * Flat Sorter Operator* Flat Sorting Machine Clerk* Mail Forwarding System Markup Clerk* Parcel Post Distribution Machine Operator* Post Office Markup Clerk* Postal Service Mail Processor* Small Package and Bundle Sorter Clerk",High school diploma or equivalent,43-5053,100.4,88.2,-12.2,-12.2,7,"53,140",7,None,4,Short-term on-the-job training,5
"Production, planning, and expediting clerks    * Expeditor* Material Control Clerk* Material Expediter* Mill Recorder* Production Control Clerk* Production Control Coordinating Clerk* Production Control Coordinator* Production Scheduler* Work Ticket Distributor",High school diploma or equivalent,43-5061,365.7,393.6,27.9,7.6,41,"49,640",7,None,4,Moderate-term on-the-job training,4
"Shipping, receiving, and inventory clerks    * Freight Clerk* Incoming Freight Clerk* Receiving Clerk* Reconsignment Clerk* Route Delivery Clerk* Shipping Order Clerk* Shipping and Receiving Clerk* Store Receiving Clerk",High school diploma or equivalent,43-5071,734.9,694.3,-40.6,-5.5,64,"35,260",7,None,4,Short-term on-the-job training,5
"Weighers, measurers, checkers, and samplers, recordkeeping    * Bean Weigher* Cheese Weigher* Freight Checker* Sample Checker* Scale Attendant* Scale Clerk* Scale Operator* Warehouse Checker* Weighing Station Operator* Wool Sampler",High school diploma or equivalent,43-5111,59.1,65.4,6.3,10.7,6.5,"36,650",7,None,4,Short-term on-the-job training,5
Executive secretaries and executive administrative assistants    * Executive Assistant,High school diploma or equivalent,43-6011,538.8,438.2,-100.6,-18.7,42.1,"63,110",7,Less than 5 years,2,None,6
